一丁点儿 (yi1,ding1,dian3,er5)
变幻不测 (bian4,hua4,bu4,ce4)
变态反应 (bian4,tai4,fan3,ying4)
变数 (bian4,shu4)
变更 (bian4,geng1)
变相 (bian4,xiang4)
变调 (bian4,diao4)
变贪厉薄 (bian3,tan1,li4,bo2)
变风改俗 (bian4,feng1,yi4,su2)
叠矩重规 (die2,ju3,chong2,gui1)
口不应心 (kou3,bu4,ying4,xin1)
口供 (kou3,gong4)
口出大言 (kou3,chu1,da1,yan2)
口子 (kou3,zi5)
口干舌焦 (kou3,gan4,she2,jiao1)
口腹之累 (kou3,fu4,zhi1,lei3)
口血未干 (kou3,xue4,wei4,gan1)
口觉 (kou3,jue2)
口角 (kou3,jue2)
口角春风 (kou3,jiao3,chun1,feng1)
口角生风 (kou3,jiao3,sheng1,feng1)
口角风情 (kou3,jiao3,feng1,qing2)
口轻舌薄 (kou3,qing1,she2,bo2)
古为今用 (gu3,wei2,jin1,yong4)
古刹 (gu3,cha4)
古朴 (gu3,piao2)
古细菌域 (gu3,xi4,jun4,yu4)
古细菌界 (gu3,xi4,jun4,jie4)
古调不弹 (gu3,diao4,bu4,tan2)
古调单弹 (gu3,diao4,dan1,tan2)
古道热肠 (ku3,dao4,re4,chang2)
古都 (gu3,du1)
句子 (ju4,zi5)
句读 (ju4,dou4)
另一方面 (ling4,yi4,fang1,mian4)
另一面 (ling4,yi2,mian4)
另当别论 (ling4,dang4,bie2,lun4)
另辟蹊径 (ling4,pi4,xi1,jing4)
叨光 (tao1,guang1)
叨叨 (dao1,dao4)
叨咕 (dao2,gu4)
叨在知己 (tao1,zai4,zhi1,ji3)
叨扰 (tao1,rao3)
叨拢 (tao1,long3)
叨陪 (tao1,pei2)
叩心泣血 (kou4,xin1,qi4,xue4)
只字 (zhi1,zi4)
只字不提 (zhi1,zi4,bu4,ti2)
只得 (zhi3,de5)
只此 (zhi1,ci3)
只见 (zhi1,jian4)
只言片语 (zhi1,yan2,pian4,yu3)
只读存储器 (zhi1,du2,cun2,chu3,qi4)
只身 (zhi1,shen1)
只轮不反 (zhi1,lun2,bu4,fan3)
只轮不返 (zhi1,lun2,bu4,fan3)
只轮无反 (zhi1,lun2,wu2,fan3)
只骑不反 (zhi1,qi2,bu4,fan3)
只鸡斗酒 (zhi1,ji1,dou3,jiu3)
只鸡樽酒 (zhi1,ji1,zun1,jiu3)
只鸡絮酒 (zhi1,ji1,xu4,jiu3)
可不是 (ke3,bu2,shi4)
可怜相 (ke3,lian2,xiang4)
可恶 (ke3,wu4)
可曾 (ke3,zeng1)
可汗 (ke4,han2)
可的松 (ke3,di4,song1)
可着 (ke3,zhe5)
台子 (tai2,zi5)
台州 (tai1,zhou1)
台柱子 (tai2,zhu4,zi5)
台湾话 (tai1,wan1,hua4)
台观 (tai2,guan4)
叱咤 (chi4,zha1)
叱咤风云 (chi4,zha4,feng1,yun2)
叱喝 (chi4,he4)
史乘 (shi3,sheng4)
叶公好龙 (ye4,gong1,hao4,long2)
叶子 (ye4,zi5)
叶子烟 (ye4,zi5,yan1)
叶落归根 (ye4,luo4,hui1,gen1)
叶韵 (xie2,yun4)
号丧 (hao2,sang1)
号叫 (hao2,jiao4)
号召 (hao2,zhao4)
号咷大哭 (hao2,tao2,da4,ku1)
号哭 (hao2,ku1)
号啕 (hao2,tao2)
号啕大哭 (hao2,tao2,da4,ku1)
号寒啼饥 (hao2,han2,ti2,ji1)
号数 (hao4,shu4)
司务长 (si1,wu4,zhang3)
司长 (si1,zhang3)
叹为观止 (tan4,wei2,guan1,zhi3)
叽哩咕噜 (ji1,li3,gu1,lu1)
吁咈都俞 (yu4,fu2,dou1,yu2)
吁天呼地 (yu4,tian1,hu1,di4)
吁求 (yu4,qiu2)
吁请 (yu4,qing3)
吃不了兜着走 (chi1,bu4,liao3,dou1,zhe5,zou3)
吃不住 (chi1,bu2,zhu4)
吃人不吐骨头 (chi1,ren2,bu4,tu3,gu2,tou5)
吃哑巴亏 (chi1,ya3,ba5,kui1)
吃得下 (chi1,de5,xia4)
吃得住 (chi1,de5,zhu4)
吃得开 (chi1,de5,kai1)
吃得来 (chi1,de5,lai2)
吃得消 (chi1,de5,xiao1)
吃相 (chi1,xiang4)
吃着碗里瞧着锅里 (chi1,zhe5,wan3,li3,qiao2,zhe5,guo1,li3)
吃苦受累 (chi1,ku3,shou4,lei4)
吃里扒外 (chi1,li3,pa2,wai4)
各奔前程 (ge4,ben4,qian2,cheng2)
各有所好 (ge4,you3,suo3,hao4)
各有所长 (ge4,you3,suo3,cheng2)
各自为战 (ge4,zi4,wei2,zhan4)
各自为政 (ge4,zi4,wei2,zheng4)
各色名样 (ge4,se4,ge4,yang4)
各行各业 (ge4,hang2,ge4,ye4)
吆五喝六 (yao1,wu3,he4,liu4)
吆喝 (yao1,he4)
合两为一 (he2,liang3,wei2,yi1)
合二为一 (he2,er4,wei2,yi1)
合从连衡 (he2,zong4,lian2,heng2)
合得来 (he2,de5,lai2)
合数 (he2,shu4)
合浦珠还 (he2,pu3,zhu1,huan2)
合浦还珠 (he2,pu3,huan2,zhu1)
合着 (he2,zhe5)
合缝 (he2,feng4)
合而为一 (he2,er2,wei2,yi1)
吉人天相 (ji2,ren2,tian1,xiang4)
吉人自有天相 (ji2,ren2,zi4,you3,tian1,xiang4)
吊丧 (diao4,sang1)
吊儿郎当 (diao4,er5,lang2,dang1)
吊卷 (diao4,juan4)
吊尔郎当 (diao4,er5,lang2,dang1)
吊铺 (diao4,pu4)
同声相应 (tong2,sheng1,xiang1,ying4)
同好 (tong2,hao4)
同心僇力 (tong2,xin1,jie2,li4)
同恶相党 (tong2,e4,xiang1,dang3)
同恶相助 (tong2,wu4,xiang1,zhu4)
同恶相恤 (tong2,wu4,xiang1,xu4)
同恶相求 (tong2,e4,xiang1,qiu2)
同恶相济 (tong2,e4,xiang1,ji4)
同行 (tong2,hang2)
同调 (tong2,diao4)
名不见经传 (ming2,bu2,jian4,jing1,zhuan4)
名刹 (ming2,sha1)
名实相副 (ming2,shi2,xiang1,fu4)
名实相符 (ming2,shi2,xiang1,fu2)
名将 (ming2,jiang4)
名我固当 (ming4,wo4,gu4,dang4)
名数 (ming2,shu4)
名角 (ming2,jue2)
后劲 (hou4,jing4)
后头 (hou4,tou5)
后爪 (hou4,zhua3)
吐口水 (tu4,kou3,shui3)
吐哺握发 (tu3,bu3,wo4,fa4)
吐沫 (tu4,mo4)
吐泻 (tu4,xie4)
吐肝露胆 (tu3,gan1,lu4,dan3)
吐蕃 (tu3,bo1)
吐血 (tu4,xue3)
吐谷浑 (tu3,yu4,hun2)
吐露 (tu3,lu4)
吐露真情 (tu3,lu4,zhen1,qing2)
向上一纵 (xiang4,shang4,yi2,zong4)
向声背实 (xiang4,sheng1,bei4,shi2)
向着 (xiang4,zhe5)
向背 (xiang4,bei4)
吓一大跳 (xia4,yi2,da4,tiao4)
吓唬 (xia4,hu4)
吖啶 (a1,ding4)
吗啡 (ma3,fei1)
吗玩意儿 (ma2,wan2,yi4,er5)
君子 (jun1,zi5)
君子好逑 (jun1,zi5,hao3,qiu2)
吞咽 (tun1,yan4)
吞没 (tun1,mo4)
吞言咽理 (tun1,yan2,yan1,li3)
吟哦 (yin2,e2)
吡咯 (bi3,luo4)
吡啶 (bi3,ding4)
否则 (fou2,ze2)
否去泰来 (pi3,qu4,tai4,lai2)
否往泰来 (pi3,wang3,tai4,lai2)
否极泰回 (pi3,ji2,tai4,hui2)
否极泰来 (pi3,ji2,tai4,lai2)
否极阳回 (pi3,ji2,yang2,hui2)
否终则泰 (pi3,zhong1,ze2,tai4)
否终复泰 (pi3,zhong1,fu4,tai4)
否认 (fou2,ren4)
吧的一声 (ba1,de5,yi1,sheng1)
含含糊糊 (han2,han2,hu4,hu1)
含垢藏疾 (han2,gou3,cang2,ji2)
含着骨头露着肉 (han2,zhe5,gu3,tou2,lu4,zhe5,rou4)
含糊 (han2,hu2)
含糊不清 (han2,hu2,bu4,qing1)
含血 (han2,xue4)
含血喷人 (han2,xue4,pen1,ren2)
含血噀人 (han2,xue4,xun4,ren2)
含血潠人 (han2,xue4,xun4,ren2)
听差 (ting1,chai1)
听得到 (ting1,de5,dao4)
听得懂 (ting1,de5,dong3)
听得见 (ting1,de5,jian4)
听而不闻 (ting1,er2,bu2,wen2)
吭哧 (keng1,chi1)
吭声 (keng1,sheng1)
吭气 (keng1,qi4)
启蒙 (qi3,meng2)
吱哩哇啦 (zhi1,li1,wa1,la1)
吱声 (zi1,sheng1)
吱扭 (zi1,niu3)
吴下阿蒙 (wu2,xia4,a1,meng2)
吴堡 (wu2,bu3)
吵吵 (chao1,chao4)
吵吵闹闹 (chao1,chao4,nao4,nao4)
吸血鬼 (xi1,xue4,gui3)
吹毛数睫 (chui1,mao2,shu4,jie2)
吹竹弹丝 (chui2,zhu2,dan4,si1)
吾自有处 (wu4,zi5,you4,chu5)
呆子 (dai1,zi5)
呆板 (ai2,ban3)
呈露 (cheng2,lu4)
告一段落 (gao4,yi2,duan4,luo4)
告假 (gao4,jia4)
告朔饩羊 (gu4,shuo4,xi4,yang2)
告老还家 (gao4,lao3,huan2,jia1)
呕吐 (ou3,tu4)
呕哑 (ou1,ya1)
呕心沥血 (ou3,xin1,li4,xue4)
呕心滴血 (ou3,xin1,di1,xue4)
呕气 (ou4,qi4)
呕血 (ou3,xue4)
呗唱 (bai4,chang4)
呛人 (qiang4,ren2)
呛到 (qiang4,dao4)
呛眼 (qiang4,yan3)
呛鼻 (qiang4,bi2)
呜呜咽咽 (wu1,wu1,ye4,ye4)
呜咽 (wu1,ye4)
呢喃 (ni2,nan2)
呢喃细语 (ni2,nan2,xi4,yu3)
呢子 (ni2,zi3)
呢绒 (ni2,rong2)
周正 (zhou1,zheng1)
呱呱坠地 (gu1,gu1,zhui4,di4)
呱呱堕地 (gu1,gu1,duo4,di4)
味同嚼蜡 (wei4,tong2,jiao2,la4)
呵叻 (ke1,le4)
呵喝 (he1,he4)
呵欠 (he1,qian5)
呵欠连天 (he1,qian4,lian2,tian1)
呼不给吸 (hu1,bu4,ji3,xi1)
呼卢喝雉 (hu1,lu2,he4,zhi4)
呼号 (hu1,hao2)
呼吁 (hu1,yu4)
呼喝 (hu1,he4)
呼天吁地 (hu1,tian1,yu4,di4)
呼天抢地 (hu1,tian1,qiang1,di4)
呼天钥地 (hu1,tian1,yao4,di4)
呼幺喝六 (hu1,yao1,he4,liu4)
呼应 (hu1,ying4)
呼来喝去 (hu1,lai2,he4,qu4)
命中 (ming4,zhong4)
命中注定 (ming4,zhong1,zhu4,ding4)
命数 (ming4,shu4)
命薄 (ming4,bo2)
命薄缘悭 (ming4,bao2,yuan2,qian1)
咀嚼 (ju3,jue2)
咋办 (zha2,ban4)
咋呼 (zha1,hu1)
咋舌 (zha4,she2)
和了 (hu2,le5)
和平共处 (he2,ping2,gong4,chu3)
和平共处五项原则 (he2,ping2,gong4,chu3,wu3,xiang4,yuan2,ze2)
和弄 (huo4,nong4)
和数 (he2,shu4)
和泥 (huo2,ni2)
和稀泥 (huo4,xi1,ni2)
和药 (huo4,yao4)
和诗 (he4,shi1)
和面 (huo2,mian4)
和颜说色 (he2,yan2,yue4,se4)
咎有应得 (jiu4,you3,ying1,de2)
咏叹调 (yong3,tan4,diao4)
咔嗒 (ka1,da1)
咔嚓 (ka1,cha1)
咖喱 (ga1,li2)
咧嘴 (lie3,zui3)
咧着嘴笑 (lie3,zhe5,zui3,xiao4)
咬人狗儿不露齿 (yao3,ren2,gou3,er2,bu4,lou4,chi3)
咬文嚼字 (yao3,wen2,jiao2,zi4)
咬牙切齿 (yao3,ya2,qie4,chi3)
咬血为盟 (yao3,xue4,wei2,meng2)
咯吱 (ge1,zhi1)
咯咯 (ge1,ge1)
咯噔 (ge1,deng1)
咱们 (zan2,men5)
咱俩 (zan2,lia3)
咱家 (za2,jia1)
咳咳 (hai1,hai1)
咳声叹气 (hai1,sheng1,tan4,qi4)
咳血 (ke2,xue4)
咽下去 (yan4,xia4,qu4)
咽口水 (yan4,kou3,shui3)
咽喉 (yan1,hou2)
咽头 (yan1,tou2)
咽峡炎 (yan1,xia2,yan2)
咽炎 (yan1,yan2)
哀乐 (ai1,yue4)
哀号 (ai1,hao2)
品竹调弦 (pin3,zhu2,diao4,xian2)
哄人 (hong3,ren2)
哄劝 (hong3,quan4)
哄哄 (hong3,hong3)
哄场 (hong4,chang3)
哄堂 (hong1,tang2)
哄孩子 (hong3,hai2,zi5)
哄小孩 (hong3,xiao3,hai2)
哄弄 (hong3,nong4)
哄抢 (hong4,qiang3)
哄诱 (hong3,you4)
哄逗 (hong3,dou4)
哄闹 (hong4,nao4)
哄骗 (hong3,pian4)
哈什蚂 (ha4,shi2,ma3)
哈巴狗 (ha3,ba1,gou3)
哈罗 (ha1,luo5)
哈达 (ha3,da2)
响应 (xiang3,ying4)
哎呀 (ai1,ya5)
哎哟 (ai1,yo5)
哑哑 (ya1,ya1)
哑场 (ya3,chang3)
哑子 (ya3,zi5)
哑子做梦 (ya3,zi3,zuo4,meng4)
哑子吃黄连 (ya3,zi3,chi1,huang2,lian2)
哑子寻梦 (ya3,zi3,xun2,meng4)
哑子托梦 (ya3,zi3,tuo1,meng4)
哑巴 (ya3,ba5)
哑巴亏 (ya3,ba5,kui1)
哑巴吃黄连 (ya3,ba5,chi1,huang2,lian2)
哑然 (ya3,ran2)
哗哗 (hua1,hua1)
哗啦 (hua1,la1)
哗啦啦 (hua2,la5,la5)
哥们 (ge1,men5)
哥们儿 (ge1,men5,er5)
哥儿们 (ge1,er5,men5)
哧哧地笑 (chi1,chi1,de5,xiao4)
哧的一声 (chi1,de5,yi4,sheng1)
哨卡 (shao4,qia3)
哩哩啦啦 (li1,li1,la1,la1)
哩哩罗罗 (li5,li5,luo1,luo1)
哪个 (nei3,ge4)
哪些 (nei3,xie1)
哪会儿 (nei3,hui4,er5)
哪儿 (na3,er5)
哪吒 (ne2,zha1)
哪里都 (na3,li5,dou1)
哭丧 (ku1,sang5)
哭丧着脸 (ku1,sang5,zhe5,lian3)
哭天抢地 (ku1,tian1,qiang1,di4)
哺乳假 (bu3,ru3,jia4)
哼哈二将 (heng1,ha1,er4,jiang4)
哽咽 (geng3,ye4)
哽塞 (geng3,se4)
唇辅相连 (chun2,fu3,xiang1,lian2)
唐临晋帖 (tang2,lin2,jin4,tie1)
唛头 (ma4,tou2)
唠叨 (lao2,dao1)
唠唠叨叨 (lao1,lao1,dao1,dao1)
唠嗑 (lao4,ke4)
唤头 (huan4,tou5)
唯唯否否 (wei3,wei3,fou3,fou3)
唯恐天下不乱 (wei2,kong3,tian1,xia4,bu2,luan4)
唯所欲为 (wei2,suo3,yu4,wei2)
唱反调 (chang4,fan3,diao4)
唱和 (chang4,he4)
唱片儿 (chang4,pian1,er5)
唱筹量沙 (chang4,chou2,liang2,sha1)
唱高调 (chang4,gao1,diao4)
唵嘛呢叭咪吽 (an3,ma5,ne5,ba5,mi1,hong1)
商行 (shang1,hang2)
商调 (shang1,diao4)
商贾 (shang1,gu3)
商量 (shang1,liang2)
啛啛喳喳 (cui4,cui4,cha1,cha1)
啥子 (sha2,zi5)
啮血为盟 (nie4,xue4,wei2,meng2)
啮血沁骨 (nie4,xue4,qin4,gu3)
啼血 (ti2,xue4)
啼饥号寒 (ti2,ji1,hao2,han2)
喀什 (ka1,shi2)
喀嚓 (ka1,cha1)
善为士者不武 (shan4,wei2,shi4,zhe3,bu4,wu3)
善为说辞 (shan4,wei2,shuo1,ci2)
善于应对 (shan4,yu2,ying4,dui4)
善善恶恶 (shan4,shan4,wu4,e4)
善处 (shan4,chu3)
善自为谋 (shan4,zi4,wei2,mou2)
善贾而沽 (shan4,jia4,er2,gu1)
喇嘛 (la3,ma5)
喊倒好儿 (han3,dao4,hao3,er5)
喊哑嗓子 (han3,ya3,sang3,zi5)
喋血 (die2,xue4)
喔喔 (wo1,wo1)
喜好 (xi3,hao4)
喜怒哀乐 (xi3,nu4,ai1,le4)
喝令 (he4,ling4)
喝倒彩 (he4,dao4,cai3)
喝彩 (he4,cai3)
喝斥 (he4,chi4)
喝止 (he4,zhi3)
喝道 (he4,dao4)
喝采 (he4,cai3)
喝问 (he4,wen4)
喷嚏 (pen1,ti4)
喷撒 (pen1,sa3)
喷薄 (pen1,bo2)
喷薄欲出 (pen1,bo2,yu4,chu1)
喷血自污 (pen1,xue4,zi4,wu1)
喷香 (pen4,xiang1)
喹啉 (kui2,lin2)
嗅觉丧失 (xiu4,jue2,min3,rui4)
嗅觉减退 (xiu4,jue2,min3,rui4)
嗅觉迟钝 (xiu4,jue2,min3,rui4)
嗒丧 (ta4,sang4)
嗒然 (ta4,ran2)
嗒然若丧 (ta4,ran2,ruo4,sang4)
嗔目切齿 (chen1,mu4,qie1,chi3)
嗔着 (chen1,zhe5)
嗜好 (shi4,hao4)
嗜血 (shi4,xue4)
嗣子 (si4,zi5)
嗨哟 (hai1,yo5)
嗳酸 (ai3,suan1)
嘀嗒 (di1,da1)
嘁哩喀喳 (qi1,li3,ka1,cha1)
嘈嘈切切 (cao2,cao2,qie1,qie1)
嘉兴市 (jia1,xing1,shi4)
嘉应 (jia1,ying4)
嘌呤 (piao4,ling2)
嘎子 (ga3,zi3)
嘟噜 (du1,lu5)
嘲哳 (zhao1,zha1)
嘲笑 (chao2,xiao4)
嘲讽 (chao2,feng3)
嘲骂 (chao2,ma4)
嘴尖舌头快 (zui3,jian1,she2,tou2,kuai4)
噗哧一声 (pu1,chi1,yi4,sheng1)
器乐 (qi4,yue4)
噱头 (xue2,tou5)
噶厦 (ga2,xia4)
嚏喷 (ti4,pen5)
嚼墨喷纸 (jue2,mo4,pen1,zhi3)
嚼穿龈血 (jiao2,chuan1,yin2,xue4)
囊萤照读 (nang2,ying2,zhao4,shu1)
囊锥露颖 (nang2,zhui1,lu4,ying3)
囚徒 (qiu1,tu2)
囚禁 (qiu2,jin4)
四不拗六 (si4,bu4,niu4,liu4)
四亭八当 (si4,ting2,ba1,dang4)
四海为家 (si4,hai3,wei2,jia1)
四舍五入 (si4,she3,wu3,ru4)
四马攒蹄 (si4,ma3,cuan2,ti2)
回佣 (hui2,yong4)
回天运斗 (hui2,tian1,yun4,dou3)
回家心切 (hui2,jia1,xin1,qie4)
回帖 (hui2,tie1)
回应 (hui2,ying4)
回船转舵 (hui2,chuan2,zhan3,duo4)
回还 (hui2,huan2)
因为 (yin1,wei4)
因公假私 (yin1,gong1,jia3,si1)
因应 (yin1,ying4)
因敌为资 (yin1,di2,wei2,zi1)
因数 (yin1,shu4)
因果报应 (yin1,guo3,bao4,ying4)
因树为屋 (yin1,shu4,wei2,wu1)
因祸为福 (yin1,huo4,wei2,fu2)
因缘为市 (yin1,yuan2,wei2,shi4)
团团转 (tuan2,tuan2,zhuan4)
团头聚面 (tuan4,tou2,ju4,mian4)
团结一致 (tuan2,jie2,yi1,zhi4)
团长 (tuan2,zhang3)
囤积 (tun2,ji1)
困处 (kun4,chu3)
困觉 (kun4,jiao4)
困难 (kun4,nan2)
困难重重 (kun4,nan2,chong2,chong2)
围剿 (wei2,jiao3)
固执不变 (gu4,zhi2,bu2,bian4)
国丧 (guo2,sang1)
国子监 (guo2,zi3,jian4)
国帑 (guo2,tang3)
国无宁日 (guo2,wu2,ning2,ri4)
国都 (guo2,du1)
国际复兴开发银行 (guo2,ji4,fu4,xing1,kai1,fa1,yin2,hang2)
国难 (guo2,nan4)
图卷 (tu2,juan4)
图穷匕见 (tu2,qiong2,bi3,xian4)
图穷匕首见 (tu2,qiong2,bi3,shou3,xian4)
圈子 (quan1,zi5)
圈牢养物 (juan4,lao2,yang3,wu4)
土偶蒙金 (tu3,ou3,meng2,jin1)
土堡 (tu3,pu4)
土生土长 (tu3,sheng1,tu3,zhang3)
土著 (tu3,zhu4)
圣人不为而成 (sheng4,ren2,bu4,wei2,er2,cheng2)
圣君贤相 (sheng4,jing1,xian2,xiang4)
圣经贤传 (sheng4,jing1,xian2,zhuan4)
在劫难逃 (zai4,jie2,nan2,tao2)
在行 (zai4,hang2)
圩场 (xu1,chang2)
圩垸 (wei2,yuan4)
圩堤 (wei2,di1)
圩子 (wei2,zi3)
圭角不露 (gui1,jiao3,bu4,lu4)
地上 (di4,shang5)
地上天官 (di4,shang4,tian1,guan1)
地上天宫 (di4,shang4,tian1,gong1)
地上茎 (di4,shang4,jing1)
地动山摇 (di4,dong4,shen1,yao2)
地堡 (di4,pu4)
地壳 (di4,qiao4)
地处 (di4,chu3)
地暴十寒 (di4,pu4,shi2,han2)
地铺 (di4,pu4)
场合 (chang3,he2)
场子 (chang3,zi5)
场所 (chang3,suo3)
场院 (chang2,yuan4)
坊巷 (fang1,xiang4)
坏兆头 (huai4,zhao4,tou5)
坏分子 (huai4,fen4,zi3)
坏血病 (huai4,xue4,bing4)
坏裳为裤 (huai4,shang5,wei2,ku4)
坐不重席 (zuo4,bu4,chong2,xi2)
坐台子 (zuo4,tai2,zi5)
坐月子 (zuo4,yue4,zi5)
坐禁闭 (zuo4,jin4,bi4)
坐视不救 (zuo4,shi1,bu4,jiu4)
坐起来 (zuo4,qi5,lai2)
坑蒙 (keng1,meng2)
坑蒙拐骗 (keng1,meng2,guai3,pian4)
坚持不懈 (jian1,chi2,bu4,xie4)
坛子 (tan2,zi5)
坤角儿 (kun1,jue2,er2)
坦率 (tan3,shuai4)
坦露 (tan3,lu4)
坯子 (pi1,zi5)
坷垃 (ke1,la1)
垂头搨翼 (chui2,tou2,da2,yi4)
垂首帖耳 (chui2,shou3,tie1,er3)
垛子 (duo3,zi5)
垦种 (ken3,zhong4)
垫圈 (dian4,juan4)
垫背 (dian4,bei4)
埋三怨四 (man2,san1,yuan4,si4)
埋天怨地 (man2,tian1,yuan4,di4)
埋头苦干 (mai2,tou2,ku3,gan4)
埋怨 (man2,yuan4)
埋没 (mai2,mo4)
城阙 (cheng2,que4)
埒才角妙 (lie4,cai2,jue2,miao4)
埙篪相和 (xun1,chi2,xiang1,he4)
埠头 (bu4,tou5)
埳井之蛙 (kan3,jing3,zhi1,wa1)
基数 (ji1,shu4)
基调 (ji1,diao4)
堂皇冠冕 (tang2,huang2,guan4,mian3)
堆案盈几 (dui1,an4,ying2,ji1)
堇菜 (jin3,cai4)
堙没 (yin1,mo4)
堡垒 (bao3,lei3)
堡子 (bu3,zi5)
堰塞湖 (yan4,se4,hu2)
堵塞 (du3,se4)
塌鼻子 (ta1,bi2,zi5)
塑料炸弹 (su4,liao4,zha4,dan4)
塔什干 (ta3,shi2,gan4)
塞北 (sai4,bei3)
塞北江南 (sai1,bei3,jiang1,nan2)
塞外 (sai4,wai4)
塞子 (sai1,zi5)
塞翁之马 (sai4,weng1,zhi1,ma3)
塞翁失马 (sai4,weng1,shi1,ma3)
塞翁得马 (sai4,weng1,de2,ma3)
塞责 (se4,ze2)
塞车 (sai1,che1)
塞门 (sai4,men2)
塞音 (se4,yin1)
填空 (tian2,kong4)
墙缝 (qiang2,feng4)
增长 (zeng1,zhang3)
墨斗 (mo4,dou3)
墨斗鱼 (mo4,dou3,yu2)
墨晕 (mo4,yun4)
壅塞 (yong1,se4)
士大夫 (shi4,da4,fu1)
声乐 (sheng1,yue4)
声应气求 (sheng1,ying4,qi4,qiu2)
声求气应 (sheng1,qiu2,qi4,ying4)
声调 (sheng1,diao4)
处世 (chu3,shi4)
处之泰然 (chu3,zhi1,tai4,ran2)
处事 (chu3,shi4)
处于 (chu3,yu2)
处于昏睡状态 (chu3,yu2,hun1,shui4,zhuang4,tai4)
处于昏迷状态 (chu3,yu2,hun1,mi2,zhuang4,tai4)
处决 (chu3,jue2)
处分 (chu3,fen4)
处刑 (chu3,xing2)
处在瓶颈 (chu3,zai4,ping2,jing3)
处堂燕雀 (chu3,tang2,yan4,que4)
处堂燕鹊 (chu3,tang2,yan4,que4)
处境 (chu3,jing4)
处士 (chu3,shi4)
处处 (chu3,chu4)
处女 (chu3,nv3)
处子 (chu3,zi3)
处实效功 (chu3,shi2,xiao4,gong1)
处尊居显 (chu3,zun1,ju1,xian3)
处心积虑 (chu3,xin1,ji1,lv4)
处所 (chu4,suo3)
处方 (chu3,fang1)
处暑 (chu3,shu3)
处死 (chu3,si3)
处治 (chu3,zhi4)
处理 (chu3,li3)
处理失当 (chu3,li3,shi1,dang4)
处理得当 (chu3,li3,de2,dang4)
处罚 (chu3,fa2)
处置 (chu3,zhi4)
处身 (chu3,shen1)
处长 (chu4,zhang3)
处高临深 (chu3,gao1,lin2,shen1)
备不住 (bei4,bu2,zhu4)
备位充数 (bei4,wei4,chong1,shu4)
备查 (bei4,zha1)
复兴 (fu4,xing1)
复名数 (fu4,ming2,shu4)
复数 (fu4,shu4)
复查 (fu4,zha1)
复辟 (fu4,bi4)
夏种 (xia4,zhong4)
夏虫朝菌 (xia4,chong2,zhao1,jun1)
夕寐宵兴 (xi1,mei4,xiao1,xing1)
夕惕朝乾 (xi1,ti4,zhao1,qian2)
外传 (wai4,zhuan4)
外合里应 (wai4,he2,li3,ying4)
外场 (wai4,chang2)
外壳 (wai4,qiao4)
外头 (wai4,tou5)
外强 (wai4,jiang1)
外强中干 (wai4,qiang2,zhong1,gan1)
外强中瘠 (wai4,qiang2,zhong1,ji2)
外相 (wai4,xiang4)
外行 (wai4,hang2)
外行人 (wai4,hang2,ren2)
外调 (wai4,diao4)
外长 (wai4,zhang3)
外露 (wai4,lu4)
夙兴夜处 (su4,xing1,ye4,chu3)
夙兴夜寐 (su4,xing1,ye4,mei4)
夙兴昧旦 (su4,xing1,mei4,dan4)
多一事不如少一事 (duo1,yi2,shi4,bu4,ru2,shao3,yi2,shi4)
多一点 (duo1,yi4,dian3)
多会儿 (duo1,hui4,er5)
多劳多得 (duo1,lao2,duo1,de5)
多口相声 (duo1,kou3,xiang4,sheng4)
多咱 (duo1,za2)
多数 (duo1,shu4)
多文为富 (duo1,wen2,wei2,fu4)
多普勒效应 (duo1,pu3,le4,xiao4,ying4)
多灾多难 (duo1,zai1,duo1,nan4)
多端寡要 (duo1,duan1,guai3,yao4)
多行不义必自毙 (duo1,xing2,bu2,yi4,bi4,zi4,bi4)
多言数穷 (duo1,yan2,shuo4,qiong2)
多财善贾 (duo1,cai2,shan4,gu3)
多钱善贾 (duo1,qian2,shan4,gu3)
多难兴邦 (duo1,nan4,xing1,bang1)
夜禁 (ye4,jin4)
夜静更深 (ye4,jing4,geng1,shen1)
夜静更阑 (ye4,jing4,geng1,lan2)
够呛 (gou4,qiang4)
够戗 (gou4,qiang4)
大个子 (da4,ge4,zi5)
大事不妙 (da4,shi4,bu2,miao4)
大人先生 (da4,ren2,xian1,sheng4)
大伯 (da4,bo2)
大伯子 (da4,bai3,zi3)
大兴 (da4,xing1)
大兴土木 (da4,xing1,tu3,mu4)
大兴安岭 (da4,xing1,an1,ling3)
大吃一惊 (da4,chi1,yi4,jing1)
大吃大喝 (da4,chi1,da4,he4)
大喜若狂 (da1,xi3,ruo4,kuang2)
大嚼 (da4,jue2)
大城 (dai4,cheng2)
大埔 (da4,bu4)
大堡礁 (da4,pu4,jiao1)
大多数 (da4,duo1,shu4)
大大咧咧 (da4,da4,lie1,lie1)
大夫 (dai4,fu1)
大子 (tai4,zi3)
大家伙 (da4,jia1,huo5)
大将 (da4,jiang4)
大师傅 (da4,shi1,fu1)
大帽子 (da4,mao4,zi5)
大幅增长 (da4,fu2,zeng1,zhang3)
大干 (da4,gan4)
大换血 (da4,huan4,xue4)
大数 (da4,shu4)
大显神通 (dai4,xian3,shen2,tong1)
大曲 (da4,qu1)
大有可为 (da4,you3,ke3,wei2)
大模大样 (da4,mu2,da4,yang4)
大步流星 (da3,bu4,liu2,xing1)
大汗 (da4,han2)
